2026-08-29 13:47:09 | INFO     | database | Database initialized at C:\Users\akhil\OneDrive\Desktop\Road-Damage-AI-System-2026\backend\database\road_damage.db
2026-08-29 14:05:58 | WARNING  | werkzeug |  * Debugger is active!
2026-08-29 14:05:58 | INFO     | werkzeug |  * Debugger PIN: 413-648-563
2026-08-29 14:06:10 | INFO     | werkzeug | 127.0.0.1 - - [29/Aug/2026 14:06:10] "GET / HTTP/1.1" 200 -
2026-08-29 14:06:10 | INFO     | werkzeug | 127.0.0.1 - - [29/Aug/2026 14:06:10] "GET /css/dashboard.css HTTP/1.1" 200 -
2026-08-29 14:06:10 | INFO     | werkzeug | 127.0.0.1 - - [29/Aug/2026 14:06:10] "GET /css/style.css HTTP/1.1" 304 -
2026-08-29 14:06:11 | INFO     | werkzeug | 127.0.0.1 - - [29/Aug/2026 14:06:11] "GET /js/dashboard.js HTTP/1.1" 200 -
2026-08-29 14:06:11 | INFO     | werkzeug | 127.0.0.1 - - [29/Aug/2026 14:06:11] "GET /statistics HTTP/1.1" 200 -
2026-08-29 14:06:23 | INFO     | werkzeug | 127.0.0.1 - - [29/Aug/2026 14:06:23] "GET / HTTP/1.1" 304 -
2026-08-29 14:06:23 | INFO     | werkzeug | 127.0.0.1 - - [29/Aug/2026 14:06:23] "GET /css/style.css HTTP/1.1" 304 -
2026-08-29 14:06:23 | INFO     | werkzeug | 127.0.0.1 - - [29/Aug/2026 14:06:23] "GET /css/dashboard.css HTTP/1.1" 304 -
2026-08-29 14:06:23 | INFO     | werkzeug | 127.0.0.1 - - [29/Aug/2026 14:06:23] "GET /js/dashboard.js HTTP/1.1" 304 -
2026-08-29 14:06:23 | INFO     | werkzeug | 127.0.0.1 - - [29/Aug/2026 14:06:23] "GET /statistics HTTP/1.1" 200 -
2026-08-29 14:06:42 | INFO     | werkzeug | 127.0.0.1 - - [29/Aug/2026 14:06:42] "GET / HTTP/1.1" 304 -
2026-08-29 14:06:43 | INFO     | werkzeug | 127.0.0.1 - - [29/Aug/2026 14:06:43] "GET /css/style.css HTTP/1.1" 304 -
2026-08-29 14:06:43 | INFO     | werkzeug | 127.0.0.1 - - [29/Aug/2026 14:06:43] "GET /css/dashboard.css HTTP/1.1" 304 -
2026-08-29 14:06:43 | INFO     | werkzeug | 127.0.0.1 - - [29/Aug/2026 14:06:43] "GET /js/dashboard.js HTTP/1.1" 304 -
2026-08-29 14:06:43 | INFO     | werkzeug | 127.0.0.1 - - [29/Aug/2026 14:06:43] "GET /statistics HTTP/1.1" 200 -
2026-08-29 14:06:52 | INFO     | werkzeug | 127.0.0.1 - - [29/Aug/2026 14:06:52] "GET /index.html HTTP/1.1" 200 -
